Unnamed: 0,Content ID,User ID,Type,Datetime,intensity,duration,engagement_score,sentiment_score
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,,,2021-04-22 15:17:15,1,0,0.0,0.0
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,5d454588-283d-459d-915d-c48a2cb4c27f,disgust,2020-11-07 09:43:50,1,0,0.0,0.0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,92b87fa5-f271-43e0-af66-84fac21052e6,dislike,2021-06-17 12:22:51,1,0,0.0,0.0
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,163daa38-8b77-48c9-9af6-37a6c1447ac2,scared,2021-04-18 05:13:58,1,0,0.0,0.0
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,34e8add9-0206-47fd-a501-037b994650a2,disgust,2021-01-06 19:13:01,1,0,0.0,0.0
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,9b6d35f9-5e15-4cd0-a8d7-b1f3340e02c4,interested,2020-08-23 12:25:58,1,0,0.0,0.0
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,7918d465-0953-4f20-9e28-539e74c82e2f,peeking,2020-12-07 06:27:54,1,0,0.0,0.0
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,fa3e42f0-71d8-455f-b024-e52d5c27a145,cherish,2021-04-11 17:35:49,1,0,0.0,0.0
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,b0c22f82-b882-4394-bf27-6dfadf26e5c2,hate,2021-01-27 08:32:09,1,0,0.0,0.0
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,1932a904-86ba-4438-bb52-b7e6516a4019,peeking,2021-04-01 22:54:23,1,0,0.0,0.0
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,,love,2020-08-04 05:05:02,1,0,0.0,0.0
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,f50ac030-3af8-4e07-aacf-dccff353b8f6,indifferent,2020-11-07 08:36:27,1,0,0.0,0.0
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,b09e3125-2162-443b-bea0-25895b7605bc,scared,2020-11-02 06:28:53,1,0,0.0,0.0
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,b143cd2b-20b1-4e9c-9bb7-cfb359b33d01,interested,2020-11-01 01:16:21,1,0,0.0,0.0
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,48e834aa-fd4a-4206-93e8-ac8fdac613bc,hate,2020-10-07 18:39:08,1,0,0.0,0.0
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,7246fed1-8725-4dbb-bccd-5451346f122d,scared,2020-09-03 18:51:38,1,0,0.0,0.0
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,9664d628-9163-4aae-94e0-311f3bdb2f11,super love,2021-02-24 05:09:23,1,0,0.0,0.0
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,2dd186bb-7a28-4e80-99c7-f1936afc7b49,peeking,2020-09-23 06:24:11,1,0,0.0,0.0
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,f4ed8f9c-5eac-4d77-a206-c60afda2921a,indifferent,2021-02-24 11:37:57,1,0,0.0,0.0
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,5d454588-283d-459d-915d-c48a2cb4c27f,interested,2021-05-22 19:44:23,1,0,0.0,0.0
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,,intrigued,2021-01-31 16:03:56,1,0,0.0,0.0
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,35d6a1f3-e358-4d4b-8074-05f3b7f35c2a,peeking,2020-11-20 17:26:23,1,0,0.0,0.0
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,c64c5004-6ab5-4faa-9fcd-8039fe57799d,worried,2021-04-11 20:47:13,1,0,0.0,0.0
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,4cff698b-def1-497c-a78e-75058de67fe8,like,2021-06-13 16:46:06,1,0,0.0,0.0
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,0a1cde57-79ab-4c61-b664-1d3b290b43cf,heart,2021-04-11 14:29:59,1,0,0.0,0.0
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,afab7336-04d3-45fe-8917-0327c56e7435,worried,2021-03-02 19:21:19,1,0,0.0,0.0
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,29ba1f29-2e45-41bd-9c43-05d0dae6c1c6,hate,2020-06-27 18:44:39,1,0,0.0,0.0
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,e74edcea-5db4-4412-a4ce-eb7c5adc314a,hate,2021-05-09 21:05:17,1,0,0.0,0.0
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,69527334-c362-47df-87fc-5e2b5e2605e5,cherish,2020-08-04 23:58:42,1,0,0.0,0.0
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,bc142f57-1307-46c6-9975-8c3a1e5f540c,super love,2020-08-28 03:57:20,1,0,0.0,0.0
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,,intrigued,2020-08-25 08:21:56,1,0,0.0,0.0
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,d6204684-926d-41db-ae9c-a7bf2e76313a,scared,2021-04-20 23:48:12,1,0,0.0,0.0
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,941db1b1-270d-47f8-8a96-43f5a7481f03,interested,2021-03-07 12:40:11,1,0,0.0,0.0
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,163daa38-8b77-48c9-9af6-37a6c1447ac2,indifferent,2021-05-24 03:21:13,1,0,0.0,0.0
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,568e7c6f-b1e9-4a85-897c-aaaaa0ce8832,super love,2021-01-24 11:03:43,1,0,0.0,0.0
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,disgust,2021-04-09 02:46:20,1,0,0.0,0.0
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,5ad56e97-58f6-4e66-9b8f-5c16358a9a97,super love,2021-02-02 03:43:43,1,0,0.0,0.0
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,bcdf88dc-2a52-4716-bc24-a1b46040c8ce,interested,2021-02-04 03:06:12,1,0,0.0,0.0
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,69532ce2-1ffe-4187-8042-0230d115b24e,dislike,2020-11-09 02:49:59,1,0,0.0,0.0
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,8f3d5674-544d-4f70-b4c1-7b9d93371855,scared,2020-09-29 16:00:27,1,0,0.0,0.0
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,,dislike,2020-11-29 21:33:04,1,0,0.0,0.0
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,9be473d9-cfdf-4954-bae2-09b0555a8ebb,want,2021-02-13 07:54:01,1,0,0.0,0.0
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,48e26178-5cdd-4568-9990-d3bc5937910b,interested,2020-07-14 05:28:44,1,0,0.0,0.0
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,ed5e1675-94a8-482c-8b43-1b9bb71d0495,indifferent,2020-08-23 10:30:37,1,0,0.0,0.0
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,d81dc9d9-a614-40f1-9dd4-7a4a05bac243,worried,2021-05-10 09:27:42,1,0,0.0,0.0
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,d0ea9a00-4ea9-4c81-b16a-a20b72f824ea,hate,2021-03-15 03:59:11,1,0,0.0,0.0
46,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,,2020-12-04 20:00:31,1,0,0.0,0.0
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,ddd079a8-00dd-4aab-9551-11961171db16,dislike,2020-06-25 17:01:58,1,0,0.0,0.0
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,cbc99939-e6a6-4269-9819-bffce6f38751,intrigued,2020-09-13 00:11:50,1,0,0.0,0.0
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,289044c8-e74c-4814-898a-b3b5eba6e46e,peeking,2020-08-20 18:17:06,1,0,0.0,0.0
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,34e8add9-0206-47fd-a501-037b994650a2,scared,2021-02-11 04:53:56,1,0,0.0,0.0
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,a483c273-aee5-44bc-883e-d6963157aa4c,hate,2021-03-08 10:40:53,1,0,0.0,0.0
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,8b49caad-bcc5-43de-bf40-34a66ff8805c,disgust,2021-03-28 21:15:26,1,0,0.0,0.0
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,e6a52b6a-20ec-4b09-bbb7-4a1138014985,hate,2021-05-25 01:00:28,1,0,0.0,0.0
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,48e26178-5cdd-4568-9990-d3bc5937910b,like,2021-03-15 12:17:43,1,0,0.0,0.0
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,3efc3621-873a-4b80-a0cb-27e531d600be,love,2021-05-05 16:26:43,1,0,0.0,0.0
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,love,2020-08-31 00:21:56,1,0,0.0,0.0
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,91fa7240-3d29-4dd0-baf1-ace7742a6e3f,heart,2021-06-16 03:02:28,1,0,0.0,0.0
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,afab7336-04d3-45fe-8917-0327c56e7435,indifferent,2020-07-07 10:52:30,1,0,0.0,0.0
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,78703a69-8edc-458f-b0fc-85d96501dcdc,peeking,2020-08-20 07:59:11,1,0,0.0,0.0
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,054b5d2a-7ee3-49c8-912a-1cf58389ae60,love,2020-09-23 11:15:19,1,0,0.0,0.0
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,7adafb3c-7c7c-492b-be5b-5ddd9ff1316a,like,2021-03-24 05:56:19,1,0,0.0,0.0
62,230c4e4d-70c3-461d-b42c-ec09396efb3f,,,2021-03-19 08:19:38,1,0,0.0,0.0
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,ad4bd878-55e7-487c-a4db-470b23bbd832,hate,2020-12-07 19:13:23,1,0,0.0,0.0
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,425b7021-0409-4358-af39-2bff14197d0a,super love,2020-08-03 16:41:04,1,0,0.0,0.0
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,15cf4392-8541-422b-8957-a9c0380c11d9,adore,2021-01-10 15:36:01,1,0,0.0,0.0
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,4c731e48-0377-4d7d-b4c8-b2174b774ed8,scared,2020-09-20 08:48:13,1,0,0.0,0.0
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,64b33556-9ecf-4ebc-8b4c-f829ab1a4881,cherish,2020-07-20 14:06:31,1,0,0.0,0.0
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,d0ea9a00-4ea9-4c81-b16a-a20b72f824ea,adore,2020-10-24 12:15:34,1,0,0.0,0.0
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,cfe50481-7c50-48fa-97fa-89b6f137e1bd,interested,2021-06-06 01:27:19,1,0,0.0,0.0
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,54a8e072-5369-4122-9189-43b55e1a4ba2,heart,2020-12-25 00:09:41,1,0,0.0,0.0
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,15c2ba5b-eeb6-4d9b-a0e2-7d5461a21c0a,like,2021-06-14 07:56:56,1,0,0.0,0.0
